bc_id,bc_type,bc_modif1,bc_modif2,bc_temp,bc_time,bc_rate,bc_oc,bc_ssa,bc_idig,bc_co,bc_loading,oxi_mw,oxi_srp,oxi_bde,oxi_pka,oxi_loading,op_mw,op_kow,op_pka,op_conc,ph,k
Swine bone,Bone,Pristine,Pristine,900,2,5,0.115697869,1024.34,3.31,42.16,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0225
Swine bone,Bone,Acid,Pristine,900,2,5,0.099868016,1201.63,2.55,57.7,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.023
Wheat straw,Plant,Pristine,Pristine,700,2,5,0.157273464,15.52,2.64,85.28,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0001
Wheat straw,Plant,Acid,Pristine,700,2,5,0.096250822,143.19,2.55,63.33,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0025
Municipal sludge,Sludge,Pristine,Pristine,700,2,5,0.464128843,244.3,3.42,90.63,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.005
Municipal sludge,Sludge,Acid,Pristine,700,2,5,0.172470395,387.02,3.39,49.64,0.1,192.11,2.08,92,-3.5,1,152.15,2,8.2,20,7,0.0084
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.0217
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,5,0.0138
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,7,0.006
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,11,0.0026
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01683
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01489
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01411
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.01072
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.00428
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.00376
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.03612
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.02053
Bovine bone,Bone,Acid,Pristine,700,2,5,0.374178806,88.68,0.74,91.08,0.3,192.11,2.08,92,-3.5,0.3,94.11,1.46,9.99,20,3,0.02098
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.01091
Straw,Plant,Pristine,Pristine,500,2,5,0.366867141,0.01209,0.89,5,5,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.0083
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,3,0.01061
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,7,0.0102
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,9,0.0088
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,11,0.006
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.0095
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.0079
Sewage sudge,Sludge,Pristine,Pristine,500,2,5,1.808446456,3.8145,1.256367292,11.87,1,192.11,2.08,92,-3.5,0.76844,444.435,-1.19,3.3,10,5,0.009
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,7,0.28
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,3,0.125
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,5,0.07
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,9,0.05
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,11,0.015
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,7,0.11
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,7,0.105
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,7,0.13
FeBCG,Plant,Metal,Pristine,900,2,10,0.2375,102.2,0.969,30,0.5,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,20,7,0.1
paper mill sludge,Sludge,Pristine,Pristine,400,1.5,5,1.215,2.67,2.54690184,7.724110429,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.001
paper mill sludge,Sludge,Pristine,Pristine,600,1.5,5,1.104166667,81.34,2.275613497,7.406809816,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.019
paper mill sludge,Sludge,Pristine,Pristine,800,1.5,5,0.592270284,141.13,2.06,7.02,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.064
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.085
paper mill sludge,Sludge,Pristine,Pristine,1500,1.5,5,0.377858517,79.31,1.07,5.96,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.068
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,3,0.043
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,5,0.065
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7.4,0.069
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,9,0.063
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,9.7,0.086
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,10.7,0.087
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.4,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,11.2,0.074
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.1,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.0066
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.2,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.0128
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.3,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.0222
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.5,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.1048
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.96055,228.29,3.32,9.6,2.008952,7,0.1067
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.096055,228.29,3.32,9.6,2.008952,7,0.008
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.19211,228.29,3.32,9.6,2.008952,7,0.0086
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.57633,228.29,3.32,9.6,2.008952,7,0.0181
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,0.864495,228.29,3.32,9.6,2.008952,7,0.0316
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,1.34477,228.29,3.32,9.6,2.008952,7,0.0213
paper mill sludge,Sludge,Pristine,Pristine,950,1.5,5,0.443462898,163.35,1.73,6.94,0.6,192.11,2.08,92,-3.5,1.72899,228.29,3.32,9.6,2.008952,7,0.0183
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.096055,163,3.17,7.89,50,6.26,0.291
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.4,192.11,2.08,92,-3.5,0.096055,163,3.17,7.89,50,6.26,0.05
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.6,192.11,2.08,92,-3.5,0.096055,163,3.17,7.89,50,6.26,0.19
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,1,192.11,2.08,92,-3.5,0.096055,163,3.17,7.89,50,6.26,0.33
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.019211,163,3.17,7.89,50,6.26,0.06
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.0480275,163,3.17,7.89,50,6.26,0.12
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.1440825,163,3.17,7.89,50,6.26,0.24
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,163,3.17,7.89,50,6.26,0.05
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,163,3.17,7.89,50,3,0.37
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,163,3.17,7.89,50,5,0.29
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,163,3.17,7.89,50,7,0.27
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,163,3.17,7.89,50,9,0.24
Sewage sudge,Sludge,Pristine,Pristine,800,2,5,1.51815,204.028,2.51,79.1,0.8,192.11,2.08,92,-3.5,0.19211,163,3.17,7.89,50,11,0.18
Sewage sudge,Sludge,Pristine,Pristine,800,4,5,2.545274812,38,1.013763441,8.01,0.5,192.11,2.08,92,-3.5,0.96055,94.11,1.46,9.99,50,6.8,0.002
Sewage sudge,Sludge,Acid,Pristine,800,4,5,0.910157068,118,1.4868,16.2,0.5,192.11,2.08,92,-3.5,0.96055,94.11,1.46,9.99,50,6.8,0.019
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.19211,163,3.17,7.89,100,7,0.001
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.019211,163,3.17,7.89,100,7,0.021
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.096055,163,3.17,7.89,100,7,0.078
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,0.96055,163,3.17,7.89,100,7,0.09
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,1.9211,163,3.17,7.89,100,7,0.081
corn stalk,Plant,Pristine,Pristine,900,2,10,0.054175331,207,0.68,2.08,1,192.11,2.08,92,-3.5,3.8422,163,3.17,7.89,100,7,0.08
poplar flour ,Plant,Pristine,Pristine,600,3,5,0.285522788,138.25,1.19,1.225,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0045
poplar flour ,Plant,Pristine,Pristine,800,3,5,0.277188329,270.88,1.34,13.3,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0046
poplar flour ,Plant,Pristine,Pristine,900,3,5,0.201743462,328.74,1.38,11.1,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0093
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.054
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.01,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0091
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.03,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0152
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.1,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0269
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.2,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0397
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.0761,296.148,4.02,4.15,2.96148,3.5,0.0291
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.3044,296.148,4.02,4.15,2.96148,3.5,0.0396
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.4566,296.148,4.02,4.15,2.96148,3.5,0.0398
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.369184,3.5,0.0444
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,4.44222,3.5,0.0262
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,5.92296,3.5,0.0164
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,7.4037,3.5,0.0138
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,2.45,0.0644
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,4,0.064
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,6.96,0.062
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,9.27,0.0423
poplar flour ,Plant,Pristine,Pristine,1000,3,5,0.182732111,443.69,1.45,8.9,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,10.99,0.0216
walnut shell flour,Plant,Pristine,Pristine,600,3,5,0.088662132,96.17,1.26,1.251666667,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.004
walnut shell flour,Plant,Pristine,Pristine,800,3,5,0.04824,192.56,1.37,6.3,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0044
walnut shell flour,Plant,Pristine,Pristine,900,3,5,0.028028933,262.73,1.47,4.55,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0046
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.005
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.01,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0027
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.03,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0069
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.1,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.96148,3.5,0.0148
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.0761,296.148,4.02,4.15,2.96148,3.5,0.0077
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.3044,296.148,4.02,4.15,2.96148,3.5,0.014
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.4566,296.148,4.02,4.15,2.96148,3.5,0.0141
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,2.369184,3.5,0.0105
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,4.44222,3.5,0.009
walnut shell flour,Plant,Pristine,Pristine,1000,3,5,0.145606599,335.81,1.5,2.8,0.05,152.2,1.82,377,9.3,0.1522,296.148,4.02,4.15,5.92296,3.5,0.008
